Trad vs Roth IRA,,,,,,,,TRAD IRA ONLY,,,Rate of Ret,,,,,,ROTH IRA ONLY,,,,,,,,,,,OPTIMAL SWITCH,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Beg of year,,5.00%,,,,,,,,,Beg of year,,,,,,,,Trad,,,,,,,,,,Roth,,,,,,,,,,,Combined,,,
2073,48,48,24%,"$190,000",,"$7,000",,"$488,214","$7,000","$1,540","$24,761",$0,$0,$0,"$519,975",,"$379,610","$7,000","$1,680","$5,320",$86,"$19,247",$0,$0,$0,"$404,177",,"$228,414","$7,000","$7,000","$1,540","$11,771",$0,$0,$0,"$247,185",,"$200,072",$0,$0,$0,$172,"$10,004",$0,$0,$0,"$210,076",,"$438,490",$0,$0,"$457,260"
2074,49,49,24%,"$190,000",,"$7,000",,"$519,975","$7,000","$1,540","$26,349",$0,$0,$0,"$553,324",,"$404,177","$7,000","$1,680","$5,320",$86,"$20,475",$0,$0,$0,"$429,972",,"$247,185","$7,000","$7,000","$1,540","$12,709",$0,$0,$0,"$266,894",,"$210,076",$0,$0,$0,$172,"$10,504",$0,$0,$0,"$220,579",,"$467,764",$0,$0,"$487,473"
2075,50,50,24%,"$190,000",,"$7,000",,"$553,324","$7,000","$1,540","$28,016",$0,$0,$0,"$588,340",,"$429,972","$7,000","$1,680","$5,320",$86,"$21,765",$0,$0,$0,"$457,056",,"$266,894","$7,000","$7,000","$1,540","$13,695",$0,$0,$0,"$287,589",,"$220,579",$0,$0,$0,$172,"$11,029",$0,$0,$0,"$231,608",,"$498,502",$0,$0,"$519,197"
2076,51,51,35%,"$250,000",,"$8,000",,"$588,340","$8,000","$1,760","$29,817",$0,$0,$0,"$626,157",,"$457,056","$8,000","$2,800","$5,200",$86,"$23,113",$0,$0,$0,"$485,369",,"$287,589","$7,000","$7,000","$1,540","$14,729",$0,$0,$0,"$309,318",,"$231,608",$0,$0,$0,$172,"$11,580",$0,$0,$0,"$243,189",,"$530,778",$0,$0,"$552,507"
2077,52,52,35%,"$250,000",,"$8,000",,"$626,157","$8,000","$1,760","$31,708",$0,$0,$0,"$665,865",,"$485,369","$8,000","$2,800","$5,200",$86,"$24,528",$0,$0,$0,"$515,098",,"$309,318","$7,000","$7,000","$1,540","$15,816",$0,$0,$0,"$332,134",,"$243,189",$0,$0,$0,$172,"$12,159",$0,$0,$0,"$255,348",,"$564,666",$0,$0,"$587,482"
2078,53,53,35%,"$250,000",,"$8,000",,"$665,865","$8,000","$1,760","$33,693",$0,$0,$0,"$707,558",,"$515,098","$8,000","$2,800","$5,200",$86,"$26,015",$0,$0,$0,"$546,312",,"$332,134","$7,000","$7,000","$1,540","$16,957",$0,$0,$0,"$356,091",,"$255,348",$0,$0,$0,$172,"$12,767",$0,$0,$0,"$268,116",,"$600,250",$0,$0,"$624,206"
2079,54,54,35%,"$250,000",,"$8,000",,"$707,558","$8,000","$1,760","$35,778",$0,$0,$0,"$751,336",,"$546,312","$8,000","$2,800","$5,200",$86,"$27,576",$0,$0,$0,"$579,088",,"$356,091","$7,000","$7,000","$1,540","$18,155",$0,$0,$0,"$381,245",,"$268,116",$0,$0,$0,$172,"$13,406",$0,$0,$0,"$281,521",,"$637,612",$0,$0,"$662,767"
2080,55,55,35%,"$250,000",,"$8,000",,"$751,336","$8,000","$1,760","$37,967",$0,$0,$0,"$797,303",,"$579,088","$8,000","$2,800","$5,200",$86,"$29,214",$0,$0,$0,"$613,503",,"$381,245","$7,000","$7,000","$1,540","$19,412",$0,$0,$0,"$407,658",,"$281,521",$0,$0,$0,$172,"$14,076",$0,$0,$0,"$295,598",,"$676,843",$0,$0,"$703,255"
2081,56,56,35%,"$250,000",,"$8,000",,"$797,303","$8,000","$1,760","$40,265",$0,$0,$0,"$845,568",,"$613,503","$8,000","$2,800","$5,200",$86,"$30,935",$0,$0,$0,"$649,638",,"$407,658","$7,000","$7,000","$1,540","$20,733",$0,$0,$0,"$435,390",,"$295,598",$0,$0,$0,$172,"$14,780",$0,$0,$0,"$310,377",,"$718,035",$0,$0,"$745,768"
2082,57,57,35%,"$250,000",,"$8,000",,"$845,568","$8,000","$1,760","$42,678",$0,$0,$0,"$896,246",,"$649,638","$8,000","$2,800","$5,200",$86,"$32,742",$0,$0,$0,"$687,580",,"$435,390","$7,000","$7,000","$1,540","$22,120",$0,$0,$0,"$464,510",,"$310,377",$0,$0,$0,$172,"$15,519",$0,$0,$0,"$325,896",,"$761,287",$0,$0,"$790,406"
2083,58,58,35%,"$250,000",,"$8,000",,"$896,246","$8,000","$1,760","$45,212",$0,$0,$0,"$949,459",,"$687,580","$8,000","$2,800","$5,200",$86,"$34,639",$0,$0,$0,"$727,418",,"$464,510","$7,000","$7,000","$1,540","$23,575",$0,$0,$0,"$495,085",,"$325,896",$0,$0,$0,$172,"$16,295",$0,$0,$0,"$342,191",,"$806,701",$0,$0,"$837,277"
2084,59,59,35%,"$250,000",,"$8,000",,"$949,459","$8,000","$1,760","$47,873",$0,$0,$0,"$1,005,332",,"$727,418","$8,000","$2,800","$5,200",$86,"$36,631",$0,$0,$0,"$769,249",,"$495,085","$7,000","$7,000","$1,540","$25,104",$0,$0,$0,"$527,190",,"$342,191",$0,$0,$0,$172,"$17,110",$0,$0,$0,"$359,301",,"$854,386",$0,$0,"$886,490"
2085,60,60,35%,"$250,000",,"$8,000",,"$1,005,332","$8,000","$1,760","$50,667",$0,$0,$0,"$1,063,998",,"$769,249","$8,000","$2,800","$5,200",$86,"$38,722",$0,$0,$0,"$813,172",,"$527,190","$7,000","$7,000","$1,540","$26,709",$0,$0,$0,"$560,899",,"$359,301",$0,$0,$0,$172,"$17,965",$0,$0,$0,"$377,266",,"$904,455",$0,$0,"$938,165"
2086,61,61,35%,"$250,000",,"$8,000",,"$1,063,998","$8,000","$1,760","$53,600",$0,$0,$0,"$1,125,598",,"$813,172","$8,000","$2,800","$5,200",$86,"$40,919",$0,$0,$0,"$859,290",,"$560,899","$7,000","$7,000","$1,540","$28,395",$0,$0,$0,"$596,294",,"$377,266",$0,$0,$0,$172,"$18,863",$0,$0,$0,"$396,129",,"$957,028",$0,$0,"$992,423"
2087,62,62,35%,"$250,000",,"$8,000",,"$1,125,598","$8,000","$1,760","$56,680",$0,$0,$0,"$1,190,278",,"$859,290","$8,000","$2,800","$5,200",$86,"$43,225",$0,$0,$0,"$907,715",,"$596,294","$7,000","$7,000","$1,540","$30,165",$0,$0,$0,"$633,459",,"$396,129",$0,$0,$0,$172,"$19,806",$0,$0,$0,"$415,935",,"$1,012,230",$0,$0,"$1,049,394"
2088,63,63,35%,"$250,000",,"$8,000",,"$1,190,278","$8,000","$1,760","$59,914",$0,$0,$0,"$1,258,192",,"$907,715","$8,000","$2,800","$5,200",$86,"$45,646",$0,$0,$0,"$958,561",,"$633,459","$7,000","$7,000","$1,540","$32,023",$0,$0,$0,"$672,482",,"$415,935",$0,$0,$0,$172,"$20,797",$0,$0,$0,"$436,732",,"$1,070,191",$0,$0,"$1,109,214"
2089,64,64,35%,"$250,000",,"$8,000",,"$1,258,192","$8,000","$1,760","$63,310",$0,$0,$0,"$1,329,502",,"$958,561","$8,000","$2,800","$5,200",$86,"$48,188",$0,$0,$0,"$1,011,949",,"$672,482","$7,000","$7,000","$1,540","$33,974",$0,$0,$0,"$713,456",,"$436,732",$0,$0,$0,$172,"$21,837",$0,$0,$0,"$458,569",,"$1,131,051",$0,$0,"$1,172,025"
